Coded_ID,Cohort,Intervention,Female,Final_grade,Final_score,Baseline_math_score,Baseline_stereotype_endorsement
573,B,-1,0,2.7,73.92,-0.28,1
574,B,1,0,4,92.71,0.63,2
575,B,-1,0,4,89.43,0.24,1
576,B,1,1,2.3,71.35,-0.28,1
577,B,1,0,4,91.45,1.54,4
578,B,-1,0,2.7,74.04,-1.46,3
579,B,1,1,2.3,71.04,-0.67,1
580,B,1,0,4,88.83,0.63,5
581,B,-1,0,1.7,58.17,-1.33,1
582,B,1,1,3.3,80.41,-0.81,1
583,B,1,0,3.7,86.14,0.89,5
584,B,1,0,3.3,78.90,0.76,2
585,B,1,0,3,75.03,0.50,4
586,B,-1,0,4,93.51,1.67,4
587,B,-1,0,1.3,52.06,-0.28,1
588,B,1,0,4,89.07,0.37,3
589,B,-1,0,3.3,82.36,0.24,1
590,B,1,0,3,75.21,0.11,4
591,B,-1,0,3.3,82.63,0.37,1
592,B,-1,1,2,65.82,-0.54,1
593,B,1,1,4,92.27,1.54,1
594,B,-1,0,0,26.22,-3.02,1
595,B,-1,0,4,94.90,1.15,1
596,B,1,1,3.3,82.18,1.54,1
597,B,1,0,3,77.14,-0.41,4
598,B,1,0,2,67.47,0.37,1
599,B,1,0,3.7,84.62,-0.28,4
600,B,1,0,2.3,70.94,-0.81,3
601,B,-1,0,1.3,51.81,-1.33,3
602,B,1,1,3,77.84,-1.07,1
603,B,1,0,3.3,78.76,0.11,5
604,B,-1,0,3.3,82.63,-0.41,1
605,B,-1,0,1.7,56.07,-0.28,2
606,B,-1,1,2,65.29,0.24,2
607,B,-1,0,3.7,84.76,0.76,4
608,B,1,0,1.7,56.72,-0.28,1
609,B,-1,0,2.3,70.37,0.37,3
610,B,-1,1,3.7,84.23,-0.28,1
611,B,1,0,1.7,56.11,-0.41,3
612,B,1,0,2.7,71.52,-0.02,3
613,B,1,1,1.7,60.49,-2.63,1
614,B,-1,0,3.3,79.28,1.15,1
615,B,1,0,1,42.88,-1.20,1
616,B,1,0,2.3,69.61,-1.07,3
617,B,1,0,0,36.67,-1.72,1
618,B,1,0,2.7,72.94,-0.81,3
619,B,-1,1,2,65.47,0.76,1
620,B,1,0,0,24.04,0.76,3
621,B,-1,1,2.7,74.16,0.50,1
622,B,-1,0,1.7,63.06,-0.02,3
623,B,-1,0,2,67.27,-0.02,3
624,B,-1,0,2.3,69.44,-1.33,2
625,B,1,1,2.7,74.07,-0.54,1
626,B,-1,0,1.7,58.83,0.37,1
627,B,-1,0,3.7,85.37,0.50,3
628,B,1,1,3,74.57,-0.54,4
629,B,1,0,1.7,60.60,-0.02,1
630,B,-1,0,1.7,56.32,-0.28,2
631,B,1,0,3,74.22,0.50,4
632,B,1,0,2.3,69.87,-0.02,2
633,B,1,1,0.7,38.56,-2.24,5
634,B,1,1,1.7,63.48,0.24,2
635,B,-1,0,3.3,81.92,0.11,1
636,B,-1,1,0,8.70,-3.28,1
637,B,-1,0,3.3,80.57,0.50,2
638,B,-1,0,2,68.19,-0.67,1
639,B,1,0,2,69.01,0.50,2
640,B,-1,0,4,88.26,-0.28,3
641,B,1,0,2.7,72.21,-0.54,1
642,B,1,1,1.7,64.70,-1.20,2
